State,Total,Year
Colorado,342260,1924
Connecticut,400295,1924
Delaware,90885,1924
Florida,109154,1924
Georgia,166577,1924
Idaho,148295,1924
Illinois,2470067,1924
Indiana,1272390,1924
Iowa,976770,1924
Kansas,662454,1924
Kentucky,815332,1924
Louisiana,121951,1924
Maine,192192,1924
Maryland,358630,1924
Massachusetts,1129837,1924
Michigan,1160419,1924
Minnesota,822146,1924
Mississippi,112462,1924
Missouri,1307958,1924
Montana,174423,1924
Nebraska,464173,1924
Nevada,26921,1924
New Hampshire,164769,1924
New Jersey,1086079,1924
New Mexico,112830,1924
New York,3263939,1924
North Carolina,482687,1924
North Dakota,199081,1924
Ohio,2016237,1924
Oklahoma,528415,1924
Oregon,279488,1924
Pennsylvania,2144850,1924
Rhode Island,210115,1924
South Carolina,50752,1924
South Dakota,203868,1924
Tennessee,300220,1924
Texas,657509,1924
Utah,156990,1924
Vermont,102917,1924
Virginia,223602,1924
Washington,421549,1924
West Virginia,583662,1924
Wisconsin,840826,1924
Wyoming,79900,1924
Nationwi,26788225,1920
Alabama,260307,1920
Arizona,66562,1920
Arkansas,183637,1920
California,944050,1920
Colorado,292053,1920
Connecticut,365518,1920
Delaware,94875,1920
Florida,145681,1920
Georgia,148716,1920
Idaho,135624,1920
Illinois,2094714,1920
Indiana,1262964,1920
Iowa,895082,1920
Kansas,570318,1920
Kentucky,918636,1920
Louisiana,126396,1920
Maine,197840,1920
Maryland,428443,1920
Massachusetts,993718,1920
Michigan,1048411,1920
Minnesota,735838,1920
Mississippi,82492,1920
Missouri,1332800,1920
Montana,179006,1920
Nebraska,382743,1920
Nevada,27194,1920
New Hampshire,159092,1920
New Jersey,903943,1920
New Mexico,105406,1920
New York,2898513,1920
North Carolina,538758,1920
North Dakota,205776,1920
Ohio,2021653,1920
Oklahoma,486610,1920
Oregon,238522,1920
Pennsylvania,1852616,1920
Rhode Island,167981,1920
South Carolina,66808,1920
South Dakota,182237,1920
Tennessee,428626,1920
Texas,486641,1920
Utah,145828,1920
Vermont,89961,1920
Virginia,230999,1920
Washington,398715,1920
West Virginia,509942,1920
Wisconsin,701280,1920
Wyoming,54700,1920
Nationwi,18541318,1916
Alabama,130728,1916
Arizona,58021,1916
Arkansas,170104,1916
California,999603,1916
Colorado,294375,1916
Connecticut,213874,1916
Delaware,51810,1916
Florida,80734,1916
Georgia,160681,1916
Idaho,134615,1916
Illinois,2192707,1916
Indiana,718848,1916
Iowa,516944,1916
Kansas,629813,1916
Kentucky,520075,1916
Louisiana,92982,1916
Maine,136314,1916
Maryland,262039,1916
Massachusetts,531832,1916
Michigan,650973,1916
Minnesota,387364,1916
Mississippi,86679,1916
Missouri,786769,1916
Montana,177679,1916
Nebraska,287315,1916
Nevada,33316,1916
New Hampshire,89127,1916
New Jersey,494442,1916
New Mexico,66787,1916
New York,1706305,1916
North Carolina,289835,1916
North Dakota,115390,1916
Ohio,1165086,1916
Oklahoma,292416,1916
Oregon,261650,1916
Pennsylvania,1297292,1916
Rhode Island,87816,1916
South Carolina,63952,1916
South Dakota,128942,1916
Tennessee,272190,1916
Texas,372461,1916
Utah,143146,1916
Vermont,64475,1916
Virginia,153992,1916
Washington,380994,1916
West Virginia,289852,1916
Wisconsin,447134,1916
Wyoming,51840,1916
Nationwi,15045546,1912
Alabama,117869,1912
Arizona,23722,1912
Arkansas,125104,1912
California,677944,1912
Colorado,266880,1912
Connecticut,190404,1912
Delaware,48694,1912
Florida,50837,1912
Georgia,121470,1912
Idaho,105754,1912
Illinois,1146173,1912
Indiana,654474,1912
Iowa,492356,1912
Kansas,365560,1912
Kentucky,452714,1912
Louisiana,79248,1912
Maine,129640,1912
Maryland,231981,1912
Massachusetts,488057,1912
Michigan,550976,1912
Minnesota,334219,1912
Mississippi,64483,1912
Missouri,698566,1912
Montana,79826,1912
Nebraska,249483,1912
Nevada,20115,1912
New Hampshire,87961,1912
New Jersey,432739,1912
New Mexico,49376,1912
New York,1588315,1912
North Carolina,243918,1912
North Dakota,86580,1912
Ohio,1037094,1912
Oklahoma,253801,1912
Oregon,137040,1912
Pennsylvania,1217736,1912
Rhode Island,77894,1912
South Carolina,50405,1912
South Dakota,116325,1912
Tennessee,251933,1912
Texas,301778,1912
Utah,112386,1912
Vermont,62842,1912
Virginia,136976,1912
Washington,322799,1912
West Virginia,268828,1912
Wisconsin,399975,1912
Wyoming,42296,1912
Nationwi,14889239,1908
Alabama,105152,1908
Arkansas,151822,1908
California,386597,1908
Colorado,263858,1908
Connecticut,190003,1908
Delaware,48007,1908
Florida,49360,1908
Georgia,132504,1908
Idaho,97293,1908
Illinois,1155254,1908
Indiana,721126,1908
Iowa,494769,1908
Kansas,375946,1908
Kentucky,490719,1908
Louisiana,75117,1908
Maine,106336,1908
Maryland,238531,1908
Massachusetts,456919,1908
Michigan,541830,1908
Minnesota,331304,1908
Mississippi,66904,1908
Missouri,715927,1908
Montana,68822,1908
Nebraska,266799,1908
Nevada,24526,1908
New Hampshire,89600,1908
New Jersey,467111,1908
New York,1638350,1908
North Carolina,252554,1908
North Dakota,94525,1908
Ohio,1121552,1908
Oklahoma,254983,1908
Oregon,110889,1908
Pennsylvania,1267450,1908
Rhode Island,72317,1908
South Carolina,66379,1908
South Dakota,114775,1908
Tennessee,257180,1908
Texas,293757,1908
Utah,108613,1908
Vermont,52680,1908
Virginia,137065,1908
Washington,183879,1908
West Virginia,258105,1908
Wisconsin,454441,1908
Wyoming,37609,1908
Nationwi,13525095,1904
Alabama,108785,1904
Arkansas,116421,1904
California,331878,1904
Colorado,243667,1904
Connecticut,191128,1904
Delaware,43856,1904
Florida,38705,1904
Georgia,130986,1904
Idaho,72578,1904
Illinois,1076499,1904
Indiana,682185,1904
Iowa,486093,1904
Kansas,328561,1904
Kentucky,435946,1904
Louisiana,53908,1904
Maine,97023,1904
Maryland,224229,1904
Massachusetts,445109,1904
Michigan,525027,1904
Minnesota,292860,1904
Mississippi,58721,1904
Missouri,643861,1904
Montana,64444,1904
Nebraska,225732,1904
Nevada,12115,1904
New Hampshire,90161,1904
New Jersey,432547,1904
New York,1617770,1904
North Carolina,207818,1904
North Dakota,70014,1904
Ohio,1004393,1904
Oregon,90154,1904
Pennsylvania,1236738,1904
Rhode Island,68656,1904
South Carolina,55118,1904
South Dakota,101395,1904
Tennessee,242750,1904
Texas,234008,1904
Utah,101672,1904
Vermont,51888,1904
Virginia,130410,1904
Washington,145151,1904
West Virginia,239986,1904
Wisconsin,443441,1904
Wyoming,30708,1904
Nationwi,13997429,1900
Alabama,159692,1900
Arkansas,127866,1900
California,302318,1900
Colorado,221408,1900
Connecticut,180195,1900
Delaware,41989,1900
Florida,39649,1900
Georgia,121410,1900
Idaho,57914,1900
Illinois,1131897,1900
Indiana,664094,1900
Iowa,530355,1900
Kansas,353766,1900
Kentucky,468265,1900
Louisiana,67906,1900
Maine,105693,1900
Maryland,264434,1900
Massachusetts,414804,1900
Michigan,544379,1900
Minnesota,316311,1900
Mississippi,59055,1900
Missouri,683656,1900
Montana,63856,1900
Nebraska,241430,1900
Nevada,10196,1900
New Hampshire,92364,1900
New Jersey,401050,1900
New York,1548042,1900
North Carolina,292518,1900
North Dakota,84216,1900
Ohio,1040073,1900
Oregon,83251,1900
Pennsylvania,1173210,1900
Rhode Island,56548,1900
South Carolina,50812,1900
South Dakota,96124,1900
Tennessee,273860,1900
Texas,423706,1900
Utah,93189,1900
Vermont,56212,1900
Virginia,264208,1900
Washington,107524,1900
West Virginia,220796,1900
Wisconsin,442501,1900
Wyoming,24687,1900
Nationwi,13938674,1896
Alabama,194580,1896
Arkansas,149347,1896
California,298419,1896
Colorado,189539,1896
Connecticut,174390,1896
Delaware,38456,1896
Florida,46488,1896
Georgia,162480,1896
Idaho,29621,1896
Illinois,1090869,1896
Indiana,637119,1896
Iowa,521547,1896
Kansas,334547,1896
Kentucky,445928,1896
Louisiana,101046,1896
Maine,118419,1896
Maryland,250249,1896
Massachusetts,401568,1896
Michigan,545585,1896
Minnesota,341762,1896
Mississippi,69591,1896
Missouri,673906,1896
Montana,53330,1896
Nebraska,223182,1896
Nevada,10314,1896
New Hampshire,83670,1896
New Jersey,371211,1896
New York,1423876,1896
North Carolina,331337,1896
North Dakota,47391,1896
Ohio,1014295,1896
Oregon,97414,1896
Pennsylvania,1194355,1896
Rhode Island,54785,1896
South Carolina,68938,1896
South Dakota,82950,1896
Tennessee,320903,1896
Texas,544786,1896
Utah,78119,1896
Vermont,63847,1896
Virginia,294674,1896
Washington,93583,1896
West Virginia,201757,1896
Wisconsin,447409,1896
Wyoming,21092,1896
Nationwi,12068027,1892
Alabama,232543,1892
Arkansas,148117,1892
California,269609,1892
Colorado,93891,1892
Connecticut,164595,1892
Delaware,37235,1892
Florida,35471,1892
Georgia,223126,1892
Idaho,19407,1892
Illinois,873647,1892
Indiana,553613,1892
Iowa,443159,1892
Kansas,324905,1892
Kentucky,340864,1892
Louisiana,114889,1892
Maine,116451,1892
Maryland,213275,1892
Massachusetts,391028,1892
Michigan,466045,1892
Minnesota,267238,1892
Mississippi,52519,1892
Missouri,541583,1892
Montana,44461,1892
Nebraska,200192,1892
Nevada,10878,1892
New Hampshire,89329,1892
New Jersey,337623,1892
New York,1336793,1892
North Carolina,280270,1892
North Dakota,36118,1892
Ohio,850164,1892
Oregon,78491,1892
Pennsylvania,1003010,1892
Rhode Island,53196,1892
South Carolina,70504,1892
South Dakota,70513,1892
Tennessee,265732,1892
Texas,422145,1892
Vermont,55796,1892
Virginia,292238,1892
Washington,87969,1892
West Virginia,171079,1892
Wisconsin,371581,1892
Wyoming,16735,1892
Nationwi,11388846,1888
Alabama,175085,1888
Arkansas,157058,1888
California,251339,1888
Colorado,91946,1888
Connecticut,153978,1888
Delaware,29764,1888
Florida,66500,1888
Georgia,142936,1888
Illinois,747813,1888
Indiana,536949,1888
Iowa,404135,1888
Kansas,331149,1888
Kentucky,344868,1888
Louisiana,115891,1888
Maine,128253,1888
Maryland,210941,1888
Massachusetts,344243,1888
Michigan,475356,1888
Minnesota,263285,1888
Mississippi,115786,1888
Missouri,521360,1888
Nebraska,202632,1888
Nevada,12278,1888
New Hampshire,90835,1888
New Jersey,303801,1888
New York,1319748,1888
North Carolina,285563,1888
Ohio,840361,1888
Oregon,61853,1888
Pennsylvania,997568,1888
Rhode Island,40775,1888
South Carolina,79997,1888
Tennessee,303694,1888
Texas,357513,1888
Vermont,65452,1888
Virginia,304087,1888
West Virginia,159440,1888
Wisconsin,354614,1888
Nationwi,10060145,1884
Alabama,153624,1884
Arkansas,125779,1884
California,196988,1884
Colorado,66519,1884
Connecticut,137257,1884
Delaware,29984,1884
Florida,59990,1884
Georgia,143610,1884
Illinois,672670,1884
Indiana,495332,1884
Iowa,377201,1884
Kansas,265848,1884
Kentucky,276481,1884
Louisiana,109399,1884
Maine,130491,1884
Maryland,186019,1884
Massachusetts,303383,1884
Michigan,401186,1884
Minnesota,190017,1884
Mississippi,120688,1884
Missouri,441268,1884
Nebraska,134202,1884
Nevada,12797,1884
New Hampshire,84586,1884
New Jersey,260921,1884
New York,1167169,1884
North Carolina,268356,1884
Ohio,784610,1884
Oregon,52682,1884
Pennsylvania,903864,1884
Rhode Island,32771,1884
South Carolina,92812,1884
Tennessee,259978,1884
Texas,325305,1884
Vermont,59401,1884
Virginia,284977,1884
West Virginia,132145,1884
Wisconsin,319835,1884
Nationwi,9217410,1880
Alabama,151902,1880
Arkansas,107772,1880
California,164218,1880
Colorado,53546,1880
Connecticut,132798,1880
Delaware,29458,1880
Florida,51618,1880
Georgia,157451,1880
Illinois,622305,1880
Indiana,470672,1880
Iowa,322668,1880
Kansas,201236,1880
Kentucky,267104,1880
Louisiana,104462,1880
Maine,143903,1880
Maryland,172221,1880
Massachusetts,282265,1880
Michigan,353079,1880
Minnesota,150770,1880
Mississippi,117068,1880
Missouri,397289,1880
Nebraska,87452,1880
Nevada,18345,1880
New Hampshire,86361,1880
New Jersey,245928,1880
New York,1103945,1880
North Carolina,240946,1880
Ohio,724967,1880
Oregon,40823,1880
Pennsylvania,874783,1880
Rhode Island,29235,1880
South Carolina,169793,1880
Tennessee,243263,1880
Texas,241726,1880
Vermont,64594,1880
Virginia,211616,1880
West Virginia,112641,1880
Wisconsin,267187,1880
Nationwi,8418659,1876
Alabama,171699,1876
Arkansas,96946,1876
California,155784,1876
Connecticut,122134,1876
Delaware,24133,1876
Florida,46776,1876
Georgia,180690,1876
Illinois,554227,1876
Indiana,438911,1876
Iowa,292878,1876
Kansas,124134,1876
Kentucky,260626,1876
Louisiana,145823,1876
Maine,117045,1876
Maryland,163759,1876
Massachusetts,259620,1876
Michigan,318450,1876
Minnesota,124075,1876
Mississippi,164776,1876
Missouri,350610,1876
Nebraska,49328,1876
Nevada,19691,1876
New Hampshire,80141,1876
New Jersey,220193,1876
New York,1015503,1876
North Carolina,233911,1876
Ohio,658649,1876
Oregon,29881,1876
Pennsylvania,758993,1876
Rhode Island,26627,1876
South Carolina,182683,1876
Tennessee,222743,1876
Texas,149555,1876
Vermont,64553,1876
Virginia,236288,1876
West Virginia,99647,1876
Wisconsin,257177,1876
Nationwi,6471983,1872
Alabama,169716,1872
Arkansas,79300,1872
California,95785,1872
Connecticut,96009,1872
Delaware,21822,1872
Florida,33190,1872
Georgia,138906,1872
Illinois,429971,1872
Indiana,351196,1872
Iowa,216365,1872
Kansas,100512,1872
Kentucky,191135,1872
Louisiana,128692,1872
Maine,90523,1872
Maryland,134447,1872
Massachusetts,192864,1872
Michigan,221455,1872
Minnesota,90919,1872
Mississippi,129457,1872
Missouri,273059,1872
Nebraska,25932,1872
Nevada,14649,1872
New Hampshire,68906,1872
New Jersey,168112,1872
New York,828020,1872
North Carolina,165163,1872
Ohio,529436,1872
Oregon,20147,1872
Pennsylvania,563262,1872
Rhode Island,18994,1872
South Carolina,95452,1872
Tennessee,179046,1872
Texas,116594,1872
Vermont,52980,1872
Virginia,185195,1872
West Virginia,62467,1872
Wisconsin,192305,1872
Nationwi,5722816,1868
Alabama,149594,1868
Arkansas,41190,1868
California,108656,1868
Connecticut,98632,1868
Delaware,18571,1868
Georgia,159816,1868
Illinois,449420,1868
Indiana,343532,1868
Iowa,194439,1868
Kansas,43630,1868
Kentucky,155455,1868
Louisiana,113488,1868
Maine,112962,1868
Maryland,92795,1868
Massachusetts,195508,1868
Michigan,225620,1868
Minnesota,71818,1868
Missouri,152488,1868
Nebraska,15291,1868
Nevada,11698,1868
New Hampshire,68304,1868
New Jersey,163132,1868
New York,849771,1868
North Carolina,181498,1868
Ohio,518788,1868
Oregon,22086,1868
Pennsylvania,655662,1868
Rhode Island,19541,1868
South Carolina,107538,1868
Tennessee,82757,1868
Vermont,56212,1868
West Virginia,49321,1868
Wisconsin,193603,1868
Nationwi,4018202,1864
California,105890,1864
Connecticut,86981,1864
Delaware,16922,1864
Illinois,348236,1864
Indiana,280655,1864
Iowa,138025,1864
Kansas,21580,1864
Kentucky,92088,1864
Maine,114797,1864
Maryland,72892,1864
Massachusetts,175490,1864
Michigan,147662,1864
Minnesota,42422,1864
Missouri,104346,1864
Nevada,16420,1864
New Hampshire,69630,1864
New Jersey,128747,1864
New York,730721,1864
Ohio,471253,1864
Oregon,18345,1864
Pennsylvania,572707,1864
Rhode Island,22432,1864
Vermont,55742,1864
West Virginia,34877,1864
Wisconsin,149342,1864
Nationwi,4681267,1860
Alabama,90122,1860
Arkansas,54152,1860
California,119827,1860
Connecticut,80745,1860
Delaware,16115,1860
Florida,13301,1860
Georgia,106717,1860
Illinois,339666,1860
Indiana,272143,1860
Iowa,128739,1860
Kentucky,146216,1860
Louisiana,50510,1860
Maine,100918,1860
Maryland,92502,1860
Massachusetts,169876,1860
Michigan,154549,1860
Minnesota,34737,1860
Mississippi,69095,1860
Missouri,165563,1860
New Hampshire,65943,1860
New Jersey,121215,1860
New York,675156,1860
North Carolina,96712,1860
Ohio,432862,1860
Oregon,14761,1860
Pennsylvania,476442,1860
Rhode Island,19951,1860
Tennessee,146106,1860
Texas,62986,1860
Vermont,44566,1860
Virginia,166891,1860
Wisconsin,152183,1860
Nationwi,4051605,1856
Alabama,75291,1856
Arkansas,32642,1856
California,110255,1856
Connecticut,80329,1856
Delaware,14598,1856
Florida,11191,1856
Georgia,99020,1856
Illinois,239334,1856
Indiana,235431,1856
Iowa,92310,1856
Kentucky,142058,1856
Louisiana,42873,1856
Maine,109689,1856
Maryland,86860,1856
Massachusetts,170048,1856
Michigan,125561,1856
Mississippi,59647,1856
Missouri,106486,1856
New Hampshire,69774,1856
New Jersey,99396,1856
New York,596486,1856
North Carolina,84963,1856
Ohio,386497,1856
Pennsylvania,460161,1856
Rhode Island,19822,1856
Tennessee,133582,1856
Texas,46808,1856
Vermont,50748,1856
Virginia,150233,1856
Wisconsin,119512,1856
Nationwi,3159640,1852
Alabama,44147,1852
Arkansas,19577,1852
California,76810,1852
Connecticut,66781,1852
Delaware,12673,1852
Florida,7193,1852
Georgia,62626,1852
Illinois,154974,1852
Indiana,183170,1852
Iowa,35364,1852
Kentucky,111643,1852
Louisiana,35902,1852
Maine,82182,1852
Maryland,75120,1852
Massachusetts,127103,1852
Michigan,82939,1852
Mississippi,44454,1852
Missouri,68801,1852
New Hampshire,50535,1852
New Jersey,83220,1852
New York,522294,1852
North Carolina,78891,1852
Ohio,353188,1852
Pennsylvania,387839,1852
Rhode Island,17005,1852
Tennessee,115486,1852
Texas,18547,1852
Vermont,43890,1852
Virginia,132604,1852
Wisconsin,64682,1852
Nationwi,2876818,1848
Alabama,61659,1848
Arkansas,16888,1848
Connecticut,62398,1848
Delaware,12432,1848
Florida,7203,1848
Georgia,92317,1848
Illinois,124596,1848
Indiana,152752,1848
Iowa,22271,1848
Kentucky,116865,1848
Louisiana,33866,1848
Maine,87625,1848
Maryland,72359,1848
Massachusetts,134748,1848
Michigan,65082,1848
Mississippi,52456,1848
Missouri,72748,1848
New Hampshire,50104,1848
New Jersey,77735,1848
New York,455944,1848
North Carolina,79852,1848
Ohio,328479,1848
Pennsylvania,368552,1848
Rhode Island,11155,1848
Tennessee,122463,1848
Texas,15177,1848
Vermont,47922,1848
Virginia,92004,1848
Wisconsin,39166,1848
Nationwi,2703864,1844
Alabama,63403,1844
Arkansas,15150,1844
Connecticut,64616,1844
Delaware,12247,1844
Georgia,86247,1844
Illinois,109057,1844
Indiana,140154,1844
Kentucky,113237,1844
Louisiana,26865,1844
Maine,84933,1844
Maryland,68690,1844
Massachusetts,132037,1844
Michigan,55751,1844
Mississippi,45004,1844
Missouri,72522,1844
New Hampshire,49187,1844
New Jersey,75944,1844
New York,485882,1844
North Carolina,82521,1844
Ohio,312224,1844
Pennsylvania,331572,1844
Rhode Island,12296,1844
Tennessee,119957,1844
Vermont,48829,1844
Virginia,95539,1844
Nationwi,2412694,1840
Alabama,62511,1840
Arkansas,11839,1840
Connecticut,56879,1840
Delaware,10852,1840
Georgia,72322,1840
Illinois,93175,1840
Indiana,116906,1840
Kentucky,91104,1840
Louisiana,18912,1840
Maine,92802,1840
Maryland,62280,1840
Massachusetts,126825,1840
Michigan,44350,1840
Mississippi,36525,1840
Missouri,52923,1840
New Hampshire,59956,1840
New Jersey,64454,1840
New York,441543,1840
North Carolina,80735,1840
Ohio,273842,1840
Pennsylvania,288026,1840
Rhode Island,8621,1840
Tennessee,108145,1840
Vermont,50773,1840
Virginia,86394,1840
Nationwi,1502811,1836
Alabama,37296,1836
Arkansas,3714,1836
Connecticut,38093,1836
Delaware,8895,1836
Georgia,47259,1836
Illinois,33589,1836
Indiana,73759,1836
Kentucky,70090,1836
Louisiana,7425,1836
Maine,38740,1836
Maryland,48119,1836
Massachusetts,74732,1836
Michigan,12667,1836
Mississippi,20079,1836
Missouri,18332,1836
New Hampshire,24925,1836
New Jersey,51729,1836
New York,305343,1836
North Carolina,50153,1836
Ohio,202333,1836
Pennsylvania,178692,1836
Rhode Island,5674,1836
Tennessee,62197,1836
Vermont,35031,1836
Virginia,53945,1836
Nationwi,1283720,1832
Alabama,14291,1832
Connecticut,32833,1832
Delaware,8386,1832
Georgia,20750,1832
Illinois,21481,1832
Indiana,47023,1832
Kentucky,79741,1832
Louisiana,6337,1832
Maine,62153,1832
Maryland,38316,1832
Massachusetts,67619,1832
Mississippi,5750,1832
Missouri,5192,1832
New Hampshire,43793,1832
New Jersey,47760,1832
New York,323393,1832
North Carolina,29799,1832
Ohio,158294,1832
Pennsylvania,158638,1832
Rhode Island,4936,1832
Tennessee,29425,1832
Vermont,32128,1832
Virginia,45682,1832
Nationwi,1149216,1828
Alabama,18618,1828
Connecticut,19378,1828
Georgia,20004,1828
Illinois,14222,1828
Indiana,39309,1828
Kentucky,70776,1828
Louisiana,8687,1828
Maine,34789,1828
Maryland,45796,1828
Massachusetts,39074,1828
Mississippi,8344,1828
Missouri,11654,1828
New Hampshire,44035,1828
New Jersey,45570,1828
New York,270975,1828
North Carolina,51747,1828
Ohio,130993,1828
Pennsylvania,152500,1828
Rhode Island,3575,1828
Tennessee,46533,1828
Vermont,33713,1828
Virginia,38924,1828
