State,Total,Year
Colorado,1510704,1996
Connecticut,1392614,1996
Delaware,271084,1996
Florida,5303794,1996
Georgia,2299071,1996
Hawaii,360120,1996
Idaho,491719,1996
Illinois,4311391,1996
Indiana,2135842,1996
Iowa,1234075,1996
Kansas,1074300,1996
Kentucky,1388708,1996
Louisiana,1783959,1996
Maine,605897,1996
Maryland,1780870,1996
Massachusetts,2556785,1996
Michigan,3848844,1996
Minnesota,2192640,1996
Mississippi,893857,1996
Missouri,2158065,1996
Montana,407261,1996
Nebraska,677415,1996
Nevada,464279,1996
New Hampshire,499175,1996
New Jersey,3075807,1996
New Mexico,556074,1996
New York,6316129,1996
North Carolina,2515807,1996
North Dakota,266411,1996
Ohio,4534434,1996
Oklahoma,1206713,1996
Oregon,1377760,1996
Pennsylvania,4506118,1996
Rhode Island,390284,1996
South Carolina,1149457,1996
South Dakota,323826,1996
Tennessee,1894105,1996
Texas,5611644,1996
Utah,665629,1996
Vermont,258449,1996
Virginia,2416642,1996
Washington,2253837,1996
West Virginia,636459,1996
Wisconsin,2196169,1996
Wyoming,211571,1996
DC,185726,1996
Nationwi,104426611,1992
Alabama,1688060,1992
Alaska,258506,1992
Arizona,1487006,1992
Arkansas,950653,1992
California,11131721,1992
Colorado,1569180,1992
Connecticut,1616332,1992
Delaware,289735,1992
Florida,5314392,1992
Georgia,2321133,1992
Hawaii,372842,1992
Idaho,482142,1992
Illinois,5050157,1992
Indiana,2305871,1992
Iowa,1354607,1992
Kansas,1157236,1992
Kentucky,1492900,1992
Louisiana,1790017,1992
Maine,679499,1992
Maryland,1985046,1992
Massachusetts,2773574,1992
Michigan,4274673,1992
Minnesota,2347948,1992
Mississippi,981793,1992
Missouri,2391565,1992
Montana,410611,1992
Nebraska,739283,1992
Nevada,506318,1992
New Hampshire,537945,1992
New Jersey,3343594,1992
New Mexico,569986,1992
New York,6926925,1992
North Carolina,2611850,1992
North Dakota,308133,1992
Ohio,4939964,1992
Oklahoma,1390359,1992
Oregon,1462643,1992
Pennsylvania,4959810,1992
Rhode Island,453478,1992
South Carolina,1202527,1992
South Dakota,336254,1992
Tennessee,1982638,1992
Texas,6154018,1992
Utah,744069,1992
Vermont,289701,1992
Virginia,2558665,1992
Washington,2288230,1992
West Virginia,683711,1992
Wisconsin,2531114,1992
Wyoming,200625,1992
DC,227572,1992
Nationwi,91594686,1988
Alabama,1378476,1988
Alaska,200116,1988
Arizona,1171873,1988
Arkansas,827738,1988
California,9887064,1988
Colorado,1372394,1988
Connecticut,1443394,1988
Delaware,249891,1988
Florida,4302313,1988
Georgia,1809672,1988
Hawaii,354461,1988
Idaho,408968,1988
Illinois,4559120,1988
Indiana,2168621,1988
Iowa,1225614,1988
Kansas,993044,1988
Kentucky,1322517,1988
Louisiana,1628202,1988
Maine,555035,1988
Maryland,1714358,1988
Massachusetts,2632805,1988
Michigan,3669163,1988
Minnesota,2096790,1988
Mississippi,931527,1988
Missouri,2093228,1988
Montana,365674,1988
Nebraska,662372,1988
Nevada,350067,1988
New Hampshire,450525,1988
New Jersey,3099553,1988
New Mexico,521287,1988
New York,6485683,1988
North Carolina,2134370,1988
North Dakota,297261,1988
Ohio,4393699,1988
Oklahoma,1171036,1988
Oregon,1201694,1988
Pennsylvania,4536251,1988
Rhode Island,404620,1988
South Carolina,986009,1988
South Dakota,312991,1988
Tennessee,1636250,1988
Texas,5427410,1988
Utah,647008,1988
Vermont,243333,1988
