2000,DEM,AlGore,51009810,695602,79004,685341,422768,5861203,738227,816015,180068,2912253,1116230,205286,138637,2589026,901980,638517,399276,638898,792344,319951,1145782,1616487,2170418,1168266,404964,1111138,137126,231780,279978,266348,1788850,286783,4113791,1257692,95284,2186190,474276,720342,2485967,249508,566039,118804,981720,2433746,203053,149022,1217290,1247652,295497,1242987,60481,171923
2000,REP,GeorgeWBush,50462412,944409,167398,781652,472940,4567429,883745,561094,137288,2912790,1419720,137845,336937,2019421,1245836,634373,622332,872492,927871,286616,813797,878502,1953139,1109659,573230,1189924,240178,433862,301575,273559,1284173,286417,2405676,1631163,174852,2351209,744337,713577,2281127,130555,786426,190700,1061949,3799639,515096,119775,1437490,1108864,336475,1237279,147947,18073
2000,GRE,RalphNader,2883443,18349,28747,45645,13421,418707,91434,64452,8307,97488,13432,21623,12292,103759,18531,29374,36086,23192,20473,37127,53768,173564,84165,126696,8126,38515,24437,24540,15008,22198,94554,21251,244398,0,9497,117857,0,77357,103392,25052,20279,0,19781,137994,35850,20374,59398,103002,10680,94070,4625,10576
1996,TOT,Total,96275640,1534349,241620,1404405,884262,10019484,1510704,1392614,271084,5303794,2299071,360120,491719,4311391,2135842,1234075,1074300,1388708,1783959,605897,1780870,2556785,3848844,2192640,893857,2158065,407261,677415,464279,499175,3075807,556074,6316129,2515807,266411,4534434,1206713,1377760,4506118,390284,1149457,323826,1894105,5611644,665629,258449,2416642,2253837,636459,2196169,211571,185726
1996,DEM,BillClinton,47400125,662165,80380,653288,475171,5119835,671152,735740,140355,2546870,1053849,205012,165443,2341744,887424,620258,387659,636614,927837,312788,966207,1571763,1989653,1120438,394022,1025935,167922,236761,203974,246214,1652329,273495,3756177,1107849,106905,2148222,488105,649641,2215819,233050,504051,139333,909146,2459683,221633,137894,1091060,1123323,327812,1071971,77934,158220
1996,REP,BobDole,39198755,769044,122746,622073,325416,3828380,691848,483109,99062,2244536,1080843,113943,256595,1587021,1006693,492644,583245,623283,712586,186378,681530,718107,1481212,766476,439838,890016,179652,363467,199244,196532,1103078,232751,1933492,1225938,125050,1859883,582315,538152,1801169,104683,573458,150543,863530,2736167,361911,80352,1138350,840712,233946,845029,105388,17339
1996,REF,RossPerot,8085402,92149,26333,112072,69884,697847,99629,139523,28719,483870,146337,27358,62518,346408,224299,105159,92639,120396,123293,85970,115812,227217,336670,257704,52222,217188,55229,71278,43986,48390,262134,32257,503458,168059,32515,483207,130788,121221,430984,43723,64386,31250,105918,378537,66461,31024,159861,201003,71639,227339,25928,3611
1992,TOT,Total,104426611,1688060,258506,1487006,950653,11131721,1569180,1616332,289735,5314392,2321133,372842,482142,5050157,2305871,1354607,1157236,1492900,1790017,679499,1985046,2773574,4274673,2347948,981793,2391565,410611,739283,506318,537945,3343594,569986,6926925,2611850,308133,4939964,1390359,1462643,4959810,453478,1202527,336254,1982638,6154018,744069,289701,2558665,2288230,683711,2531114,200625,227572
1992,DEM,BillClinton,44909806,690080,78294,543050,505823,5121325,629681,682318,126054,2072698,1008966,179310,137013,2453350,848420,586353,390434,665104,815971,263420,988571,1318662,1871182,1020997,400258,1053873,154507,217344,189148,209040,1436206,261617,3444450,1114042,99168,1984942,473066,621314,2239164,213299,479514,124888,933521,2281815,183429,133592,1038650,993037,331001,1041066,68160,192619
1992,REP,GeorgeH.W.Bush,39104550,804283,102000,572086,337324,3630574,562850,578313,102313,2173310,995252,136822,202645,1734096,989375,504891,449951,617178,733386,206504,707094,805049,1554940,747841,487793,811159,144207,344346,175828,202484,1356865,212824,2346649,1134661,136244,1894310,592929,475757,1791841,131601,577507,136718,841300,2496071,322632,88122,1150517,731234,241974,930855,79347,20698
1992,I,RossPerot,19743821,183109,73481,353741,99132,2296006,366010,348771,59213,1053067,309657,53003,130395,840515,455934,253468,312358,203944,211478,206820,281414,632312,824813,562506,85626,518741,107225,174687,132580,121337,521829,91895,1090721,357864,71084,1036426,319878,354091,902667,105045,138872,73295,199968,1354781,203400,65991,348639,541780,108829,544479,51263,9681
1988,TOT,Total,91594686,1378476,200116,1171873,827738,9887064,1372394,1443394,249891,4302313,1809672,354461,408968,4559120,2168621,1225614,993044,1322517,1628202,555035,1714358,2632805,3669163,2096790,931527,2093228,365674,662372,350067,450525,3099553,521287,6485683,2134370,297261,4393699,1171036,1201694,4536251,404620,986009,312991,1636250,5427410,647008,243333,2191609,1865253,653311,2191608,176551,192877
1988,DEM,MichaelDukakis,41809476,549506,72584,454029,349237,4702233,621453,676584,108647,1656701,714792,192364,147272,2215940,860643,670557,422636,580368,717460,243569,826304,1401406,1675783,1109471,363921,1001619,168936,259646,132738,163696,1320352,244497,3347882,890167,127739,1939629,483423,616206,2194944,225123,370554,145560,679794,2352748,207343,115775,859799,933516,341016,1126794,67113,159407
1988,REP,GeorgeH.W.Bush,48886597,815576,119251,702541,466578,5054917,728177,750241,139639,2618885,1081331,158625,253881,2310939,1297763,545355,554049,734281,883702,307131,876167,1194644,1965486,962337,557890,1084953,190412,398447,206040,281537,1743192,270341,3081871,1237258,166559,2416549,678367,560126,2300087,177761,606443,165415,947233,3036829,428442,124331,1309162,903835,310065,1047499,106867,27590
1984,TOT,Total,92653233,1441713,207605,1025897,884406,9505423,1295381,1466900,254572,4180051,1776093,335846,411144,4819088,2233069,1319805,1021991,1370461,1706822,553144,1675873,2559453,3801658,2084449,940192,2122771,384377,652090,286667,388954,3217862,514370,6806810,2175361,308971,4547619,1255676,1226527,4844903,410492,968540,317867,1711993,5397571,629656,234561,2146635,1883910,735742,2212016,188968,211288
1984,DEM,WalterMondale,37577352,551899,62007,333854,338646,3922519,454974,569597,101656,1448816,706628,147154,108510,2086499,841481,605620,333149,539589,651586,214515,787935,1239606,1529638,1036364,352192,848583,146742,187866,91655,120395,1261323,201769,3119609,824287,104429,1825440,385080,536479,2228131,197106,344470,116113,711714,1949276,155369,95730,796250,807352,328125,995847,53370,180408
1984,REP,RonaldReagan,54455472,872849,138377,681416,534774,5467009,821818,890877,152190,2730350,1068722,185050,297523,2707103,1377230,703088,677296,822782,1037299,336500,879918,1310936,2251571,1032603,581477,1274188,232450,460054,188770,267051,1933630,307101,3664763,1346481,200336,2678560,861530,685700,2584323,212080,615539,200267,990212,3433428,469105,135865,1337078,1051670,405483,1198800,133241,29009
1980,TOT,Total,86509678,1341929,158445,873945,837582,8587063,1184415,1406285,235668,3687026,1597467,303287,437431,4749721,2242033,1317661,979795,1294627,1548591,523011,1540496,2524298,3909725,2051953,892620,2099824,363952,640854,247885,383999,2975684,456237,6201959,1855833,301545,4283603,1149708,1181516,4561501,416072,890083,327703,1617616,4541637,604222,213207,1866032,1742394,737715,2273221,176713,173889
1980,DEM,JimmyCarter,35480115,636730,41842,246843,398041,3083661,367973,541732,105754,1419475,890733,135879,110192,1981413,844197,508672,326150,616417,708453,220974,726161,1053802,1661532,954174,429281,931182,118032,166851,66666,108864,1147364,167826,2728372,875635,79189,1752414,402026,456890,1937540,198342,427560,103855,783051,1881147,124266,81891,752174,650193,367462,981584,49427,130231
1980,REP,RonaldReagan,43903230,654192,86112,529688,403164,4524858,652264,677210,111252,2046951,654168,130112,290699,2358049,1255656,676026,566812,635274,792853,238522,680606,1057631,1915225,873241,441089,1074181,206814,419937,155017,221705,1546557,250779,2893831,915018,193695,2206545,695570,571044,2261872,154793,441207,198343,787761,2510705,439687,94598,989609,865244,334206,1088845,110700,23313
1980,I,JohnAnderson,5719850,16481,11155,76952,22468,739833,130633,171807,16288,189692,36055,32021,27058,346754,111639,115633,68231,31127,26345,53327,119537,382539,275223,174990,12036,77920,29281,44993,17651,49693,234632,29459,467801,52800,23640,254472,38284,112389,292921,59819,14150,21431,35991,111613,30284,31760,95418,185073,31691,160657,12072,16131
1976,TOT,Total,81540780,1182850,123574,742719,769396,7867117,1081135,1381526,235834,3150631,1467458,291301,340932,4718833,2220362,1279306,957845,1167142,1278439,483208,1432273,2547558,3653749,1949931,769360,1953600,328734,607668,201876,339618,3014472,416590,6534420,1677906,297094,4111873,1092251,1029876,4620787,411170,802594,300678,1476346,4071884,541198,187855,1697094,1555534,750674,2101336,156343,168830
1976,DEM,JimmyCarter,40831881,659170,44058,295602,499614,3742284,460353,647895,122596,1636000,979409,147375,126549,2271295,1014714,619931,430421,615717,661365,232279,759612,1429475,1696714,1070440,381309,998387,149259,233692,92479,147635,1444653,201148,3389558,927365,136078,2011621,532442,490407,2328677,227636,450825,147068,825879,2082319,182110,81044,813896,717323,435914,1040232,62239,137818
1976,REP,GeraldFord,39148634,504070,71555,418642,268753,3882244,584367,719261,109831,1469531,483743,140003,204151,2364269,1183958,632863,502752,531852,587446,236320,672661,1030276,1893742,819395,366846,927443,173703,359705,101273,185935,1509688,211419,3100791,741960,153470,2000505,545708,492120,2205604,181249,346140,151505,633969,1953300,337908,102085,836554,777732,314760,1004987,92717,27873
1972,TOT,Total,77744030,1006093,95219,653505,647666,8367862,953884,1384277,235516,2583283,1174772,270274,310379,4723236,2125529,1225944,916095,1067499,1051491,417271,1353812,2458756,3490325,1741652,645963,1852589,317603,576289,181766,334059,2997229,385931,7161830,1518612,280514,4094787,1029900,927946,4592105,415808,677880,307415,1201182,3472714,478476,186946,1457019,1470847,762399,1852890,145570,163421
1972,DEM,GeorgeMcGovern,29173222,256923,32967,198540,198899,3475847,329980,555498,92283,718117,289529,101409,80826,1913472,708568,496206,270287,371159,298142,160584,505781,1332540,1459435,802346,126782,698531,120197,169991,66016,116435,1102211,141084,2951084,438705,100384,1558889,247147,392760,1796951,194645,189270,139945,357293,1154291,126284,68174,438887,568334,277435,810174,44358,127627
1972,REP,RichardNixon,47168710,728701,55349,402812,445751,4602096,597189,810763,140357,1857759,881496,168865,199384,2788179,1405154,706207,619812,676446,686852,256458,829305,1112078,1961721,898269,505125,1154058,183976,406298,115750,213724,1845502,235606,4192778,1054889,174109,2441827,759025,486686,2714521,220383,478427,166476,813147,2298896,323643,117149,988493,837135,484964,989430,100464,35226
1968,TOT,Total,73199999,1049917,83035,486936,609590,7251587,811199,1256232,214367,2187805,1250266,236218,291183,4619749,2123597,1167931,872783,1055893,1097450,392936,1235039,2331752,3306250,1588510,654509,1809502,274404,536851,154218,297299,2875395,327281,6790066,1587493,247882,3959698,943086,819622,4747928,385000,666982,281264,1248617,3079406,422568,161404,1361491,1304281,754206,1691538,127205,170578
1968,DEM,HubertHumphrey,31271839,196579,35411,170514,184901,3244318,335174,621561,89194,676794,334440,141324,89273,2039814,806659,476699,302996,397541,309615,217312,538310,1469218,1593082,857738,150644,791444,114117,170784,60598,130589,1264206,130081,3378470,464113,94769,1700586,301658,358866,2259405,246518,197486,118023,351233,1266804,156665,70255,442387,616037,374091,748804,45173,139566
1968,REP,RichardNixon,31783783,146923,37600,266721,189062,3467664,409345,556721,96714,886804,380111,91425,165369,2174774,1067885,619106,478674,462411,257535,169254,517995,766844,1370665,658643,88516,811932,138835,321163,73188,154903,1325467,169692,3007932,627192,138669,1791014,449697,408433,2090017,122359,254062,149841,472592,1227844,238728,85142,590319,588510,307555,809997,70927,31012
1968,AMI,GeorgeWallace,9901118,691425,10024,46573,235627,487270,60813,76650,28459,624207,535550,3469,36541,390958,243108,66422,88921,193098,530300,6370,178734,87088,331968,68931,415349,206126,20015,44904,20432,11173,262187,25737,358864,496188,14244,467495,191731,49683,378582,15678,215430,13400,424792,584269,26906,5104,321833,96990,72560,127835,11105,0
